SRA	Serovar
SRR5500500	Typhi
SRR5500501	Typhi
SRR5500502	Typhi
SRR5500503	Typhi
SRR5500504	Typhi
SRR5500505	Typhi
SRR5500506	Typhi
SRR5500507	Typhi
SRR5500508	Typhi
SRR5500509	Typhi
SRR5500510	Typhi
SRR5500511	Typhi
SRR5500512	Typhi
SRR5500513	Typhi
SRR5500514	Typhi
SRR5500515	Typhi
SRR5500516	Typhi
SRR5500517	Typhi
SRR5500518	Typhi
SRR5500519	Typhi
SRR5500520	Typhi
SRR5500521	Typhi
SRR5500522	Typhi
SRR5500523	Typhi
SRR5500524	Typhi
SRR5500525	Typhi
SRR5500526	Typhi
SRR5500527	Typhi
SRR5500536	Typhi
SRR5583116	Typhi
SRR5583130	Paratyphi A
SRR5583153	Typhi
SRR5583173	Paratyphi A
SRR5583197	Paratyphi A
SRR5583205	Typhi
SRR5583237	Paratyphi A
SRR5583249	Typhi
SRR5583437	Paratyphi A
SRR5583838	Paratyphi A
SRR5583858	Paratyphi A
SRR5583873	Typhi
SRR5583875	Paratyphi A
SRR5583946	Paratyphi A
SRR5583998	Typhi
SRR5584561	Typhi
SRR5584580	Typhi
SRR5584603	Paratyphi A
SRR5584682	Typhi
SRR5584950	Typhi
SRR5584958	Typhi
SRR5584965	Typhi
SRR5584991	Typhi
SRR5585020	Typhi
SRR5585105	Typhi
SRR5585112	Typhi
SRR5585116	Typhi
SRR5585175	Typhi
SRR5585261	Typhi
SRR5585263	Typhi
SRR5585319	Typhi
SRR5585378	Paratyphi A
SRR5585380	Paratyphi A
SRR5631324	Typhi
SRR5631342	Paratyphi A
SRR5631560	Paratyphi A
SRR5631599	Paratyphi A
SRR5631637	Typhi
SRR5631652	Paratyphi A
SRR5631657	Typhi
SRR5631918	Paratyphi A
SRR5631923	Paratyphi B
SRR5631925	Typhi
SRR5631926	Typhi
SRR5631929	Typhi
SRR5631945	Typhi
SRR5632037	Typhi
SRR5632076	Typhi
SRR5632109	Typhi
SRR5632114	Typhi
SRR5632195	Paratyphi A
SRR5632262	Typhi
SRR5632269	Typhi
SRR5632272	Typhi
SRR5632322	Typhi
SRR5632336	Typhi
SRR5632728	Typhi
SRR5632766	Typhi
SRR5632776	Paratyphi A
SRR5632808	Typhi
SRR5632862	Typhi
SRR5632914	Typhi
SRR5632948	Typhi
SRR5632978	Paratyphi B
SRR5633022	Paratyphi B
SRR5633023	Typhi
SRR5633086	Typhi
SRR5633108	Paratyphi A
SRR5633121	Paratyphi A
SRR5633129	Typhi
SRR5633154	Typhi
SRR5633158	Typhi
SRR5633171	Paratyphi A
SRR5633188	Typhi
SRR5633219	Typhi
SRR5633226	Typhi
SRR5633231	Typhi
SRR5633241	Paratyphi A
SRR5633344	Typhi
SRR5874356	Typhi
SRR5874459	Typhi
SRR5874460	Typhi
SRR5874461	Typhi
SRR5874462	Typhi
SRR5874463	Typhi
SRR5874464	Typhi
SRR5874467	Typhi
SRR5874468	Paratyphi A
SRR5886991	Typhi
SRR5887645	Typhi
SRR5887650	Paratyphi A
SRR5887658	Typhi
SRR5887659	Typhi
SRR5887785	Typhi
SRR5887786	Typhi
SRR5887794	Typhi
SRR5887803	Typhi
SRR5887812	Typhi
SRR5949949	Typhi
SRR5949950	Typhi
SRR5949955	Typhi
SRR5949957	Typhi
SRR5949958	Typhi
SRR5949960	Typhi
SRR5949961	Paratyphi A
SRR5949963	Typhi
SRR5949964	Paratyphi A
SRR5949965	Paratyphi A
SRR5949967	Typhi
SRR5949968	Paratyphi A
SRR5949969	Paratyphi A
SRR5949971	Typhi
SRR5949977	Typhi
SRR5949979	Typhi
SRR5949981	Typhi
SRR5949982	Paratyphi A
SRR5949989	Typhi
SRR5957747	Typhi
SRR5957748	Paratyphi A
SRR5957749	Typhi
SRR5957750	Paratyphi A
SRR5957751	Typhi
SRR5957752	Paratyphi B
SRR5957753	Typhi
SRR5957756	Paratyphi A
SRR5957757	Paratyphi A
SRR5957759	Typhi
SRR5957760	Typhi
SRR5957761	Typhi
SRR5957762	Typhi
SRR5957763	Typhi
SRR5957764	Typhi
SRR5957766	Paratyphi A
SRR5957767	Typhi
SRR5957768	Typhi
SRR5974879	Paratyphi A
SRR5974880	Paratyphi A
SRR5974881	Typhi
SRR5974884	Typhi
SRR5974885	Paratyphi A
SRR5974887	Paratyphi A
SRR5974888	Typhi
SRR5974889	Paratyphi A
SRR5974891	Typhi
SRR5974892	Paratyphi A
SRR5974893	Paratyphi A
SRR5974894	Typhi
SRR5974895	Paratyphi A
SRR5974896	Paratyphi A
SRR5974897	Typhi
SRR5974898	Typhi
SRR5974899	Paratyphi A
SRR5974900	Paratyphi A
SRR5974901	Typhi
SRR5974903	Typhi
SRR5974904	Typhi
SRR5974905	Paratyphi A
SRR5974906	Typhi
SRR5974908	Typhi
SRR5974910	Paratyphi A
SRR5974911	Paratyphi A
SRR5974912	Typhi
SRR5974913	Typhi
SRR5974914	Typhi
SRR5974915	Typhi
SRR5974916	Typhi
SRR5982989	Typhi
SRR5982990	Typhi
SRR5982991	Paratyphi A
SRR5982993	Typhi
SRR5982994	Paratyphi A
SRR5982995	Typhi
SRR5982996	Typhi
SRR5982997	Typhi
SRR5983000	Paratyphi B
SRR5983001	Typhi
SRR5983002	Typhi
SRR5983003	Paratyphi A
SRR5983005	Paratyphi A
SRR5983007	Paratyphi A
SRR5983008	Paratyphi A
SRR5983009	Typhi
SRR5983010	Typhi
SRR5983011	Paratyphi A
SRR5985720	Paratyphi B
SRR5985724	Paratyphi B
SRR5985727	Paratyphi B
SRR5985728	Paratyphi B
SRR5985729	Paratyphi B
SRR5985730	Paratyphi B
SRR5985731	Paratyphi B
SRR5985732	Paratyphi B
SRR5985734	Paratyphi B
SRR5985735	Paratyphi B
SRR5985737	Paratyphi B
SRR5985738	Paratyphi B
SRR5985739	Paratyphi B
SRR5985740	Paratyphi B
SRR5985741	Paratyphi B
SRR5985742	Paratyphi B
SRR5985743	Paratyphi B
SRR5985744	Paratyphi B
SRR5985745	Paratyphi B
SRR5985746	Paratyphi B
SRR5985747	Paratyphi B
SRR5985749	Paratyphi B
SRR5985750	Paratyphi B
SRR5985751	Paratyphi B
SRR5985752	Paratyphi B
SRR5985753	Paratyphi B
SRR5985754	Paratyphi B
SRR5985755	Paratyphi B
SRR5985806	Paratyphi A
SRR5985807	Paratyphi A
SRR5985808	Paratyphi A
SRR5985809	Paratyphi A
SRR5985810	Paratyphi A
SRR5985811	Paratyphi A
SRR5985813	Paratyphi A
SRR5985814	Paratyphi A
SRR5985815	Paratyphi A
SRR5985816	Paratyphi A
SRR5985817	Paratyphi A
SRR5985819	Paratyphi A
SRR5985820	Paratyphi A
SRR5985822	Paratyphi A
SRR5985832	Paratyphi A
SRR5985833	Paratyphi A
SRR5985834	Paratyphi A
SRR5985835	Paratyphi A
SRR5985836	Paratyphi A
SRR5985837	Paratyphi A
SRR5985838	Paratyphi A
SRR5985839	Paratyphi A
SRR5985840	Paratyphi A
SRR5985841	Paratyphi A
SRR5985842	Paratyphi A
SRR5985843	Paratyphi A
SRR5985844	Paratyphi A
SRR5985845	Paratyphi A
SRR5985846	Paratyphi A
SRR5985847	Paratyphi A
SRR5985848	Paratyphi A
SRR5985849	Paratyphi A
SRR5985850	Paratyphi A
SRR5985852	Paratyphi A
SRR5985853	Paratyphi A
SRR5985854	Paratyphi A
SRR5985855	Paratyphi A
SRR5985856	Paratyphi A
SRR5985857	Paratyphi A
SRR5985858	Paratyphi A
SRR5985859	Paratyphi A
SRR5986333	Typhi
SRR5986334	Typhi
SRR5986335	Typhi
SRR5986336	Typhi
SRR5986355	Typhi
SRR5986356	Typhi
SRR5986489	Typhi
SRR5986496	Typhi
SRR5986535	Typhi
SRR5986536	Typhi
SRR5986537	Typhi
SRR5986538	Typhi
SRR5986539	Typhi
SRR5986540	Typhi
SRR5986541	Typhi
SRR5986542	Typhi
SRR5986543	Typhi
SRR5986544	Typhi
SRR5989243	Paratyphi B
SRR5989244	Paratyphi A
SRR5989245	Paratyphi A
SRR5989246	Paratyphi A
SRR5989247	Paratyphi A
SRR5989248	Paratyphi A
SRR5989249	Typhi
SRR5989250	Paratyphi B
SRR5989251	Paratyphi A
SRR5989252	Paratyphi A
SRR5989253	Typhi
SRR5989287	Paratyphi A
SRR5989288	Paratyphi A
SRR5989289	Typhi
SRR5989290	Typhi
SRR5989291	Paratyphi A
SRR5989292	Typhi
SRR5989293	Typhi
SRR5989294	Typhi
SRR5989295	Paratyphi A
SRR5989296	Paratyphi A
SRR5989297	Typhi
SRR5989298	Typhi
SRR5989299	Paratyphi A
SRR5989300	Typhi
SRR5989301	Paratyphi A
SRR5989302	Typhi
SRR5989303	Typhi
SRR5989304	Paratyphi A
SRR5989305	Typhi
SRR5989306	Typhi
SRR5989307	Typhi
SRR5989308	Paratyphi A
SRR5989309	Paratyphi A
SRR5989310	Typhi
SRR5989311	Paratyphi B
SRR5989312	Paratyphi A
SRR5989313	Typhi
SRR5989314	Paratyphi B
SRR5989315	Paratyphi A
SRR5989316	Paratyphi B
SRR5989317	Paratyphi A
SRR5989318	Paratyphi A
SRR5989319	Typhi
SRR5989320	Typhi
SRR5989321	Paratyphi A
SRR5989322	Typhi
SRR5989323	Typhi
SRR5989324	Typhi
SRR5989985	Paratyphi B
SRR5989986	Paratyphi B
SRR5989987	Paratyphi B
SRR5989988	Paratyphi B
SRR5989989	Paratyphi B
SRR5989990	Paratyphi B
SRR5989998	Paratyphi A
SRR5989999	Paratyphi A
SRR5990000	Paratyphi A
SRR5990001	Typhi
SRR5990002	Paratyphi A
SRR5990003	Typhi
SRR5990004	Typhi
SRR5990007	Typhi
SRR5990008	Paratyphi A
SRR5990009	Paratyphi A
SRR5990010	Typhi
SRR5990013	Paratyphi A
SRR5990019	Paratyphi A
SRR5990020	Typhi
SRR5990021	Paratyphi A
SRR5990022	Paratyphi A
SRR5990023	Paratyphi A
SRR5990024	Paratyphi A
SRR5990025	Paratyphi A
SRR5990026	Typhi
SRR5990027	Paratyphi A
SRR5990028	Paratyphi A
SRR5990029	Typhi
SRR5990030	Paratyphi A
SRR5990032	Paratyphi A
SRR5990033	Typhi
SRR5990034	Paratyphi A
SRR5990035	Paratyphi A
SRR5990036	Typhi
SRR5990037	Paratyphi A
SRR5990038	Typhi
SRR5990039	Typhi
SRR5990040	Paratyphi A
SRR5990041	Paratyphi A
SRR5990042	Paratyphi A
SRR5990043	Paratyphi A
SRR5990044	Typhi
SRR5990045	Paratyphi A
SRR5990046	Paratyphi A
SRR5990047	Paratyphi A
SRR5990048	Paratyphi A
SRR5990049	Paratyphi A
SRR5990050	Paratyphi A
SRR5990051	Paratyphi A
SRR5990056	Typhi
SRR5990057	Paratyphi A
SRR5990292	Typhi
SRR5990293	Paratyphi A
SRR5990295	Paratyphi A
SRR5990296	Paratyphi A
SRR5990334	Paratyphi A
SRR5990341	Typhi
SRR5990342	Typhi
SRR5990343	Typhi
SRR5990419	Paratyphi A
SRR6181295	Typhi
SRR6325216	Typhi
SRR6325466	Paratyphi A
SRR6900725	Typhi
