SRA	Serovar
ERR030105	Paratyphi A
ERR030114	Paratyphi A
ERR119723	Paratyphi A
ERR119726	Paratyphi A
ERR119727	Paratyphi A
ERR119728	Paratyphi A
ERR119729	Paratyphi A
ERR119731	Paratyphi A
ERR119733	Paratyphi A
ERR119734	Paratyphi A
ERR119735	Paratyphi A
ERR119736	Paratyphi A
ERR119737	Paratyphi A
ERR119738	Paratyphi A
ERR119739	Paratyphi A
ERR119740	Paratyphi A
ERR119741	Paratyphi A
ERR119742	Paratyphi A
ERR119743	Paratyphi A
ERR119745	Paratyphi A
ERR119746	Paratyphi A
ERR119747	Paratyphi A
ERR119749	Paratyphi A
ERR119750	Paratyphi A
ERR119751	Paratyphi A
ERR119752	Paratyphi A
ERR119753	Paratyphi A
ERR119755	Paratyphi A
ERR119756	Paratyphi A
ERR119757	Paratyphi A
ERR119759	Paratyphi A
ERR119760	Paratyphi A
ERR119761	Paratyphi A
ERR119762	Paratyphi A
ERR119763	Paratyphi A
ERR119765	Paratyphi A
ERR119766	Paratyphi A
ERR119768	Paratyphi A
ERR119769	Paratyphi A
ERR119771	Paratyphi A
ERR119773	Paratyphi A
ERR119774	Paratyphi A
ERR119775	Paratyphi A
ERR119777	Paratyphi A
ERR119778	Paratyphi A
ERR119779	Paratyphi A
ERR119781	Paratyphi A
ERR119782	Paratyphi A
ERR119783	Paratyphi A
ERR119784	Paratyphi A
ERR119785	Paratyphi A
ERR119786	Paratyphi A
ERR119787	Paratyphi A
ERR119788	Paratyphi A
ERR119789	Paratyphi A
ERR119791	Paratyphi A
ERR119792	Paratyphi A
ERR119794	Paratyphi A
ERR119799	Paratyphi A
ERR119801	Paratyphi A
ERR119802	Paratyphi A
ERR119803	Paratyphi A
ERR119804	Paratyphi A
ERR119805	Paratyphi A
ERR119806	Paratyphi A
ERR119809	Paratyphi A
ERR119810	Paratyphi A
ERR119811	Paratyphi A
ERR119812	Paratyphi A
ERR119813	Paratyphi A
ERR119814	Paratyphi A
ERR119815	Paratyphi A
ERR119816	Paratyphi A
ERR119817	Typhi
ERR119818	Typhi
ERR119819	Typhi
ERR119820	Typhi
ERR119821	Typhi
ERR119822	Typhi
ERR119823	Typhi
ERR119824	Typhi
ERR119825	Typhi
ERR119826	Paratyphi A
ERR119827	Paratyphi A
ERR119828	Paratyphi A
ERR119829	Paratyphi A
ERR119830	Paratyphi A
ERR119832	Paratyphi A
ERR119833	Paratyphi A
ERR119834	Paratyphi A
ERR119835	Paratyphi A
ERR119836	Paratyphi A
ERR119837	Paratyphi A
ERR119838	Paratyphi A
ERR119839	Paratyphi A
ERR119841	Paratyphi A
ERR119843	Paratyphi A
ERR119845	Paratyphi A
ERR119846	Paratyphi A
ERR119847	Paratyphi A
ERR119848	Paratyphi A
ERR119850	Paratyphi A
ERR1797552	Typhi
ERR1802043	Paratyphi A
ERR1802391	Typhi
ERR1802444	Typhi
ERR1802487	Paratyphi A
ERR1810354	Typhi
ERR1810360	Paratyphi A
ERR1815493	Paratyphi A
ERR1815750	Typhi
ERR1816696	Typhi
ERR1816702	Paratyphi A
ERR1816858	Typhi
ERR1817114	Paratyphi A
ERR1817147	Typhi
ERR1817148	Typhi
ERR1817209	Typhi
ERR1817319	Typhi
ERR1857521	Typhi
ERR1910714	Paratyphi A
ERR1910717	Typhi
ERR1948289	Typhi
ERR1988381	Paratyphi A
ERR2001750	Paratyphi A
